Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_Mean,CV_Std,Params
Model_9_Balanced_Class_Weight,0.989010989010989,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9957010582010581,0.9714285714285713,0.00879120879120876,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'class_weight': 'balanced', 'max_iter': 1000}"
Model_1_Default,0.989010989010989,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238094,0.9714285714285713,0.013186813186813185,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000}"
Model_2_L1_Regularization,0.989010989010989,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238095,0.9736263736263735,0.011206636293610506,"{'penalty': 'l1', 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000}"
Model_5_ElasticNet,0.9912087912087912,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238095,0.9714285714285713,0.013186813186813185,"{'penalty': 'elasticnet', 'C': 1.0, 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 2000}"
Model_7_Newton_Solver,0.989010989010989,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238094,0.9714285714285713,0.013186813186813185,"{'penalty': 'l2', 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000}"
Model_8_SAG_Solver,0.989010989010989,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9973544973544973,0.9714285714285713,0.013186813186813185,"{'penalty': 'l2', 'C': 1.0, 'solver': 'sag', 'max_iter': 1000}"
Model_10_L1_Strong_Reg,0.9758241758241758,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9973544973544974,0.9670329670329672,0.015540808377726327,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000}"
Model_3_Strong_L2_Regularization,0.9648351648351648,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.9993386243386244,0.964835164835165,0.016150481820548433,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'max_iter': 1000}"
Model_4_Weak_L2_Regularization,0.9934065934065934,0.9473684210526315,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9907407407407407,0.9604395604395604,0.017855029460738362,"{'penalty': 'l2', 'C': 10.0, 'solver': 'lbfgs', 'max_iter': 1000}"
Model_6_No_Regularization,1.0,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9679232804232805,0.9582417582417582,0.014578570507056687,"{'penalty': None, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000}"
